field_name,table_name,data_type,description,unit,allowed_values_or_range,generation_logic_summary
ts_occupancy_variability_index,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_occupancy_variability_index",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_load_std,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_load_std",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_peak_variability,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_peak_variability",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_heating_variability,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_heating_variability",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
occ_00_03,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_00_03",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
load_00_03,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — load_00_03",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
heat_00_03,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — heat_00_03",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
occ_03_06,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_03_06",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
load_03_06,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — load_03_06",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
heat_03_06,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — heat_03_06",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
occ_06_09,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_06_09",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
load_06_09,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — load_06_09",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
heat_06_09,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — heat_06_09",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
occ_09_12,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_09_12",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
load_09_12,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — load_09_12",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
heat_09_12,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — heat_09_12",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
occ_12_15,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_12_15",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
load_12_15,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — load_12_15",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
heat_12_15,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — heat_12_15",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
occ_15_18,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_15_18",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
load_15_18,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — load_15_18",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
heat_15_18,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — heat_15_18",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
occ_18_21,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_18_21",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
load_18_21,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — load_18_21",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
heat_18_21,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — heat_18_21",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
occ_21_24,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_21_24",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
load_21_24,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — load_21_24",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
heat_21_24,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — heat_21_24",,"operations_timeseries.csv (3h means)","Role=modelling; Mean over full year for 3-hour local-time bucket."
interaction_occ_load_correlation,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — interaction_occ_load_correlation",,"engineered (v5)","Role=modelling; Joined/engineered field."
interaction_temp_heating_sensitivity,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — interaction_temp_heating_sensitivity",,"engineered (v5)","Role=modelling; Joined/engineered field."
interaction_pv_self_consumption_ratio,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — interaction_pv_self_consumption_ratio",,"engineered (v5)","Role=modelling; Joined/engineered field."
interaction_ev_load_overlap,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — interaction_ev_load_overlap",,"engineered (v5)","Role=modelling; Joined/engineered field."
interaction_heatpump_load_dependency,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — interaction_heatpump_load_dependency",,"engineered (v5)","Role=modelling; Joined/engineered field."
interaction_occupancy_heating_alignment,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — interaction_occupancy_heating_alignment",,"engineered (v5)","Role=modelling; Joined/engineered field."
interaction_peak_coincidence_index,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — interaction_peak_coincidence_index",,"engineered (v5)","Role=modelling; Joined/engineered field."
event_morning_peak_time,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — event_morning_peak_time",,"operations_timeseries.csv (events)","Role=modelling; Joined/engineered field."
event_evening_peak_time,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — event_evening_peak_time",,"operations_timeseries.csv (events)","Role=modelling; Joined/engineered field."
event_peak_duration_hours,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — event_peak_duration_hours",,"operations_timeseries.csv (events)","Role=modelling; Joined/engineered field."
event_heating_start_hour,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — event_heating_start_hour",,"operations_timeseries.csv (events)","Role=modelling; Joined/engineered field."
event_heating_end_hour,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — event_heating_end_hour",,"operations_timeseries.csv (events)","Role=modelling; Joined/engineered field."
event_ev_charging_start_hour,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — event_ev_charging_start_hour",,"operations_timeseries.csv (events)","Role=modelling; Joined/engineered field."
event_ev_charging_end_hour,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — event_ev_charging_end_hour",,"operations_timeseries.csv (events)","Role=modelling; Joined/engineered field."
event_peak_day_of_week,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — event_peak_day_of_week",,"operations_timeseries.csv (events)","Role=modelling; Joined/engineered field."
resp_load_shift_potential,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — resp_load_shift_potential",,"engineered (v5)","Role=modelling; Joined/engineered field."
resp_peak_reduction_capability,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — resp_peak_reduction_capability",,"engineered (v5)","Role=modelling; Joined/engineered field."
resp_battery_utilisation_rate,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — resp_battery_utilisation_rate",,"engineered (v5)","Role=modelling; Joined/engineered field."
resp_demand_response_index,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — resp_demand_response_index",,"engineered (v5)","Role=modelling; Joined/engineered field."
resp_flexibility_factor,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — resp_flexibility_factor",,"engineered (v5)","Role=modelling; Joined/engineered field."
resp_self_consumption_ratio,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — resp_self_consumption_ratio",,"engineered (v5)","Role=modelling; Joined/engineered field."
resp_grid_dependency_index,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — resp_grid_dependency_index",,"engineered (v5)","Role=modelling; Joined/engineered field."
val_building_archetype_seed,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — val_building_archetype_seed",,,"Role=validation_only; Validation-only seed; not for modelling features."
val_fabric_archetype_seed,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — val_fabric_archetype_seed",,,"Role=validation_only; Validation-only seed; not for modelling features."
val_system_archetype_seed,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — val_system_archetype_seed",,,"Role=validation_only; Validation-only seed; not for modelling features."
val_occupant_archetype_seed,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — val_occupant_archetype_seed",,,"Role=validation_only; Validation-only seed; not for modelling features."
